short_name,long_name,sibelius,musescore,dorico,finale
Fl {n},Flute {n},,Flute_{n},,
Ob {n},Oboe {n},,Oboe_{n},,
Bsn {n},Bassoon {n},,Bassoon_{n},,
Cl {n},Clarinet {n} in B♭,,Clarinet_{n},,
AS {n},Alto Saxophone {n},,Alto_Saxophone_{n},,
TS {n},Tenor Saxophone {n},,Tenor_Saxophone_{n},,
BS,Baritone Saxophone,,Baritone_Saxophone,,
Cor {n},Cornet {n} in B♭,,Cornet_{n},,
Tpt {n},Trumpet {n} in B♭,,Trumpet_{n},,
Hn {n},Horn {n} in F,,Horn_{n},,
Trb {n},Trombone {n},,Trombone_{n},,
Euph,Euphonium,,Euphonium,,
Tba,Tuba,,Tuba,,
Timp,Timpani,,Timpani,,
Perc,Percussion,,Percussion,,
