short_name,long_name,sibelius,musescore,dorico,finale
Fl {n},Flute {n},,Flute_{n},,
Ob {n},Oboe {n},,Oboe_{n},,
Cl {n},Clarinet {n} in B♭,,Clarinet_{n},,
Bsn {n},Bassoon {n},,Bassoon_{n},,
Hn {n},Horn {n} in F,,Horn_{n},,
Tpt {n},Trumpet {n} in B♭,,Trumpet_{n},,
Trb {n},Trombone {n},,Trombone_{n},,
Tba,Tuba,,Tuba,,
Timp,Timpani,,Timpani,,
Perc,Percussion,,Percussion,,
Hp,Harp,,Harp,,
Pno,Piano,,Piano,,
Vln 1,Violin 1,,Violin_1,,
Vln 2,Violin 2,,Violin_2,,
Vla,Viola,,Viola,,
Vc,Violoncello,,Violoncello,,
Db,Double Bass,,Contrabass,,
